id,type,price,a_min,a_max,search
24690,S201-B6,8.00,0,5,mcb 1p b06a 10ka
24691,S201-B10,8.00,5,8,mcb 1p b10a 10ka
24692,S201-B16,8.00,8,13,mcb 1p b16a 10ka
24693,S201-B20,8.00,13,18,mcb 1p b20a 10ka
24694,S201-B25,8.00,18,22.5,mcb 1p b25a 10ka
24695,S201-B32,8.00,22.5,28.5,mcb 1p b32a 10ka
24696,S201-B40,9.90,28.5,36,mcb 1p b40a 10ka
24697,S201-B50,11.70,36,45,mcb 1p b50a 10ka
24698,S201-B63,11.70,45,56.5,mcb 1p b63a 10ka
24699,S202-B6,20.00,0,5,mcb 2p b06a 10ka
24700,S202-B10,20.00,5,8,mcb 2p b10a 10ka
24701,S202-B16,20.00,8,13,mcb 2p b16a 10ka
24702,S202-B20,20.00,13,18,mcb 2p b20a 10ka
24703,S202-B25,20.00,18,22.5,mcb 2p b25a 10ka
24704,S202-B32,20.00,22.5,28.5,mcb 2p b32a 10ka
24705,S202-B40,25.30,28.5,36,mcb 2p b40a 10ka
24706,S202-B50,30.80,36,45,mcb 2p b50a 10ka
24707,S202-B63,30.80,45,56.5,mcb 2p b63a 10ka
24708,S203-B6,30.20,0,5,mcb 3p b06a 10ka
24709,S203-B10,30.20,5,8,mcb 3p b10a 10ka
24710,S203-B16,30.20,8,13,mcb 3p b16a 10ka
24711,S203-B20,30.20,13,18,mcb 3p b20a 10ka
24712,S203-B25,30.20,18,22.5,mcb 3p b25a 10ka
24713,S203-B32,30.20,22.5,28.5,mcb 3p b32a 10ka
24714,S203-B40,37.80,28.5,36,mcb 3p b40a 10ka
24715,S203-B50,47.00,36,45,mcb 3p b50a 10ka
24716,S203-B63,47.00,45,56.5,mcb 3p b63a 10ka
24717,S204-B6,42.00,0,5,mcb 4p b06a 10ka
24718,S204-B10,42.00,5,8,mcb 4p b10a 10ka
24719,S204-B16,42.00,8,13,mcb 4p b16a 10ka
24720,S204-B20,42.00,13,18,mcb 4p b20a 10ka
24721,S204-B25,42.00,18,22.5,mcb 4p b25a 10ka
24722,S204-B32,42.00,22.5,28.5,mcb 4p b32a 10ka
24723,S204-B40,50.00,28.5,36,mcb 4p b40a 10ka
24724,S204-B50,57.00,36,45,mcb 4p b50a 10ka
24725,S204-B63,57.00,45,56.5,mcb 4p b63a 10ka
24726,S201-B6NA,20.00,0,5,mcb 1p+n b06a 10ka
24727,S201-B10NA,20.00,5,8,mcb 1p+n b10a 10ka
24728,S201-B16NA,20.00,8,13,mcb 1p+n b16a 10ka
24729,S201-B20NA,20.00,13,18,mcb 1p+n b20a 10ka
24730,S201-B25NA,20.00,18,22.5,mcb 1p+n b25a 10ka
24731,S201-B32NA,20.00,22.5,28.5,mcb 1p+n b32a 10ka
24732,S201-B40NA,25.30,28.5,36,mcb 1p+n b40a 10ka
24733,S201-B50NA,30.80,36,45,mcb 1p+n b50a 10ka
24734,S201-B63NA,30.80,45,56.5,mcb 1p+n b63a 10ka
24735,S203-B6NA,42.00,0,5,mcb 3p+n b06a 10ka
24736,S203-B10NA,42.00,5,8,mcb 3p+n b10a 10ka
24737,S203-B16NA,42.00,8,13,mcb 3p+n b16a 10ka
24738,S203-B20NA,42.00,13,18,mcb 3p+n b20a 10ka
24739,S203-B25NA,42.00,18,22.5,mcb 3p+n b25a 10ka
24740,S203-B32NA,42.00,22.5,28.5,mcb 3p+n b32a 10ka
24741,S203-B40NA,50.00,28.5,36,mcb 3p+n b40a 10ka
24742,S203-B50NA,57.00,36,45,mcb 3p+n b50a 10ka
24743,S203-B63NA,57.00,45,56.5,mcb 3p+n b63a 10ka
24744,S201-C1,9.95,0,0.5,mcb 1p c01a 10ka
24745,S201-C2,9.95,0.5,1.5,mcb 1p c02a 10ka
24746,S201-C4,9.95,1.5,3,mcb 1p c04a 10ka
24747,S201-C6,8.00,3,5,mcb 1p c06a 10ka
24748,S201-C10,8.00,5,8,mcb 1p c10a 10ka
24749,S201-C16,8.00,8,13,mcb 1p c16a 10ka
24750,S201-C20,8.00,13,18,mcb 1p c20a 10ka
24751,S201-C25,8.00,18,22.5,mcb 1p c25a 10ka
24752,S201-C32,8.00,22.5,28.5,mcb 1p c32a 10ka
24753,S201-C40,9.90,28.5,36,mcb 1p c40a 10ka
24754,S201-C50,11.70,36,45,mcb 1p c50a 10ka
24755,S201-C63,11.70,45,56.5,mcb 1p c63a 10ka
24756,S202-C1,25.40,0,0.5,mcb 2p c01a 10ka
24757,S202-C2,25.40,0.5,1.5,mcb 2p c02a 10ka
24758,S202-C4,25.40,1.5,3,mcb 2p c04a 10ka
24759,S202-C6,20.00,3,5,mcb 2p c06a 10ka
24760,S202-C10,20.00,5,8,mcb 2p c10a 10ka
24761,S202-C16,20.00,8,13,mcb 2p c16a 10ka
24762,S202-C20,20.00,13,18,mcb 2p c20a 10ka
24763,S202-C25,20.00,18,22.5,mcb 2p c25a 10ka
24764,S202-C32,20.00,22.5,28.5,mcb 2p c32a 10ka
24765,S202-C40,25.30,28.5,36,mcb 2p c40a 10ka
24766,S202-C50,30.80,36,45,mcb 2p c50a 10ka
24767,S202-C63,30.80,45,56.5,mcb 2p c63a 10ka
24768,S203-C1,35.50,0,0.5,mcb 3p c01a 10ka
24769,S203-C2,35.50,0.5,1.5,mcb 3p c02a 10ka
24770,S203-C4,35.50,1.5,3,mcb 3p c04a 10ka
24771,S203-C6,30.20,3,5,mcb 3p c06a 10ka
24772,S203-C10,30.20,5,8,mcb 3p c10a 10ka
24773,S203-C16,30.20,8,13,mcb 3p c16a 10ka
24774,S203-C20,30.20,13,18,mcb 3p c20a 10ka
24775,S203-C25,30.20,18,22.5,mcb 3p c25a 10ka
24776,S203-C32,30.20,22.5,28.5,mcb 3p c32a 10ka
24777,S203-C40,37.80,28.5,36,mcb 3p c40a 10ka
24778,S203-C50,47.00,36,45,mcb 3p c50a 10ka
24779,S203-C63,47.00,45,56.5,mcb 3p c63a 10ka
24780,S204-C1,58.50,0,0.5,mcb 4p c01a 10ka
24781,S204-C2,58.50,0.5,1.5,mcb 4p c02a 10ka
24782,S204-C4,49.00,1.5,3,mcb 4p c04a 10ka
24783,S204-C6,42.00,3,5,mcb 4p c06a 10ka
24784,S204-C10,42.00,5,8,mcb 4p c10a 10ka
24785,S204-C16,42.00,8,13,mcb 4p c16a 10ka
24786,S204-C20,42.00,13,18,mcb 4p c20a 10ka
24787,S204-C25,42.00,18,22.5,mcb 4p c25a 10ka
24788,S204-C32,42.00,22.5,28.5,mcb 4p c32a 10ka
24789,S204-C40,50.00,28.5,36,mcb 4p c40a 10ka
24790,S204-C50,57.00,36,45,mcb 4p c50a 10ka
24791,S204-C63,57.00,45,56.5,mcb 4p c63a 10ka
24792,S201-C1NA,25.40,0,0.5,mcb 1p+n c01a 10ka
24793,S201-C2NA,25.40,0.5,1.5,mcb 1p+n c02a 10ka
24794,S201-C4NA,25.40,1.5,3,mcb 1p+n c04a 10ka
24795,S201-C6NA,20.00,3,5,mcb 1p+n c06a 10ka
24796,S201-C10NA,20.00,5,8,mcb 1p+n c10a 10ka
24797,S201-C16NA,20.00,8,13,mcb 1p+n c16a 10ka
24798,S201-C20NA,20.00,13,18,mcb 1p+n c20a 10ka
24799,S201-C25NA,20.00,18,22.5,mcb 1p+n c25a 10ka
24800,S201-C32NA,20.00,22.5,28.5,mcb 1p+n c32a 10ka
24801,S201-C40NA,25.30,28.5,36,mcb 1p+n c40a 10ka
24802,S201-C50NA,30.80,36,45,mcb 1p+n c50a 10ka
24803,S201-C63NA,30.80,45,56.5,mcb 1p+n c63a 10ka
24804,S203-C1NA,58.00,0,0.5,mcb 3p+n c01a 10ka
24805,S203-C2NA,58.00,0.5,1.5,mcb 3p+n c02a 10ka
24806,S203-C4NA,58.00,1.5,3,mcb 3p+n c04a 10ka
24807,S203-C6NA,42.00,3,5,mcb 3p+n c06a 10ka
24808,S203-C10NA,42.00,5,8,mcb 3p+n c10a 10ka
24809,S203-C16NA,42.00,8,13,mcb 3p+n c16a 10ka
24810,S203-C20NA,42.00,13,18,mcb 3p+n c20a 10ka
24811,S203-C25NA,42.00,18,22.5,mcb 3p+n c25a 10ka
24812,S203-C32NA,42.00,22.5,28.5,mcb 3p+n c32a 10ka
24813,S203-C40NA,50.00,28.5,36,mcb 3p+n c40a 10ka
24814,S203-C50NA,57.00,36,45,mcb 3p+n c50a 10ka
24815,S203-C63NA,57.00,45,56.5,mcb 3p+n c63a 10ka
24816,S201-K1,20.80,0,0.5,mcb 1p k01a 10ka
24817,S201-K2,16.70,0.5,1.5,mcb 1p k02a 10ka
24818,S201-K4,16.70,1.5,3,mcb 1p k04a 10ka
24819,S201-K6,11.60,3,5,mcb 1p k06a 10ka
24820,S201-K10,10.55,5,8,mcb 1p k10a 10ka
24821,S201-K16,10.55,8,13,mcb 1p k16a 10ka
24822,S201-K20,10.55,13,18,mcb 1p k20a 10ka
